Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
758,2017-01-05 09:59:22,2017-01-05 10:12:01,495,W 47 St & 10 Ave,40.76269882,-73.99301222,442,W 27 St & 7 Ave,40.746647,-73.993915,20601,Subscriber,1981,1
512,2017-01-05 10:46:44,2017-01-05 10:55:16,2021,W 45 St & 8 Ave,40.75929124,-73.98859651,494,W 26 St & 8 Ave,40.74734825,-73.99723551,25543,Subscriber,1982,1
297,2017-01-05 11:50:08,2017-01-05 11:55:05,412,Forsyth St & Canal St,40.7158155,-73.99422366,3265,E 2 St & 2 Ave E,40.7245634290432,-73.9894437789917,20345,Subscriber,1988,1
150,2017-01-05 12:43:50,2017-01-05 12:46:20,445,E 10 St & Avenue A,40.72740794,-73.98142006,326,E 11 St & 1 Ave,40.72953837,-73.98426726,21073,Subscriber,1958,1
538,2017-01-05 13:36:38,2017-01-05 13:45:36,304,Broadway & Battery Pl,40.70463334,-74.01361706,320,Leonard St & Church St,40.717571,-74.005549,26452,Subscriber,1985,1
1545,2017-01-05 14:24:04,2017-01-05 14:49:49,387,Centre St & Chambers St,40.71273266,-74.0046073,321,Cadman Plaza E & Red Cross Pl,40.69991755,-73.98971773,20228,,1996,1
691,2017-01-05 15:08:23,2017-01-05 15:19:55,242,Carlton Ave & Flushing Ave,40.697787,-73.973736,344,Monroe St & Bedford Ave,40.6851443,-73.95380904,24918,Subscriber,1989,1
132,2017-01-05 15:51:27,2017-01-05 15:53:39,517,Pershing Square South,40.751581,-73.97791,440,E 45 St & 3 Ave,40.75255434,-73.97282625,19325,Subscriber,1964,2
480,2017-01-05 16:27:43,2017-01-05 16:35:43,359,E 47 St & Park Ave,40.75510267,-73.97498696,488,W 39 St & 9 Ave,40.75645824,-73.99372222,17690,Subscriber,1959,1
1103,2017-01-05 16:59:21,2017-01-05 17:17:44,265,Stanton St & Chrystie St,40.72229346,-73.99147535,432,E 7 St & Avenue A,40.72621788,-73.98379855,19580,Customer,,0
480,2017-01-05 17:20:23,2017-01-05 17:28:23,491,E 24 St & Park Ave S,40.74096374,-73.98602213,517,Pershing Square South,40.751581,-73.97791,17582,Subscriber,1976,1
896,2017-01-05 17:41:39,2017-01-05 17:56:36,259,South St & Whitehall St,40.70122128,-74.01234218,356,Bialystoker Pl & Delancey St,40.71622644,-73.98261206,25512,Subscriber,1964,1
469,2017-01-05 18:02:59,2017-01-05 18:10:48,528,2 Ave & E 31 St,40.74290902,-73.97706058,487,E 20 St & FDR Drive,40.73314259,-73.97573881,14621,Subscriber,1967,1
391,2017-01-05 18:22:31,2017-01-05 18:29:02,348,W Broadway & Spring St,40.72490985,-74.00154702,127,Barrow St & Hudson St,40.73172428,-74.00674436,19020,Subscriber,1978,2
2003,2017-01-05 18:42:35,2017-01-05 19:15:59,497,E 17 St & Broadway,40.73704984,-73.99009296,313,Washington Ave & Park Ave,40.69610226,-73.96751037,26497,Subscriber,1982,1
229,2017-01-05 19:06:45,2017-01-05 19:10:34,3263,Cooper Square & E 7 St,40.72923649910006,-73.99086803197861,317,E 6 St & Avenue B,40.72453734,-73.98185424,25266,Subscriber,1992,1
423,2017-01-05 19:37:02,2017-01-05 19:44:05,3286,E 89 St & 3 Ave,40.7806284,-73.9521667,3351,E 102 St & 1 Ave,40.7869946,-73.94164802,25542,Subscriber,1991,1
353,2017-01-05 20:17:19,2017-01-05 20:23:13,472,E 32 St & Park Ave,40.7457121,-73.98194829,518,E 39 St & 2 Ave,40.74780373,-73.9734419,18967,Subscriber,1992,1
412,2017-01-05 21:16:58,2017-01-05 21:23:50,3111,Norman Ave & Leonard St,40.7258483,-73.95064893,3105,N 15 St & Wythe Ave,40.724055,-73.955736,26015,Subscriber,1971,1
114,2017-01-05 22:57:58,2017-01-05 22:59:53,3244,University Pl & E 8 St,40.73143724085228,-73.99490341544151,382,University Pl & E 14 St,40.73492695,-73.99200509,26921,Subscriber,1978,1
482,2017-01-06 06:32:29,2017-01-06 06:40:32,3366,West End Ave & W 107 St,40.8021174,-73.9681805305,3177,W 84 St & Broadway,40.7867947,-73.977112,26826,Subscriber,1994,2
85,2017-01-06 07:41:54,2017-01-06 07:43:20,150,E 2 St & Avenue C,40.7208736,-73.98085795,301,E 2 St & Avenue B,40.72217444,-73.98368779,17560,Subscriber,1975,1
